clean_comment;v1;v2;v3;v4;v5;v6;label
there is somewhat of a chicken and egg dependency between;-4.833362956919009;-1.4423930061288839;-0.40671407500007367;-0.33326316969306286;0.22067375803184366;0.09751927382102325;CODE
fileconfigurationserviceimpl and configurationserviceimpl;12.126303955563069;-5.597583002321295;-0.05119050602941692;-2.1533662410973644;2.86742278312993;0.1670433026974615;-
fileconfigurationserviceimpl throws illegalstateexception if;-1.6738629696904896;-5.654500771082201;-0.6190495008536211;-0.5374200624717919;-1.3958937793059543;0.8297334318149431;CODE
certain system properties are not set;2.244859576961977;-2.951679928077732;0.8561365490392532;1.7482633341092366;-1.5165582140539913;-1.151055979907317;IRRE
configurationserviceimpl will make sure that these properties;6.672248955726077;-8.110642266313215;12.451770306485066;-1.3993779955874446;5.325643069151758;-3.4313438548187194;-
are set but it will do that later;8.049846619589703;-7.395654450405916;2.9627041236399747;0.36989681967958893;-1.3409438645421532;-0.6639596353784204;TASK
a securityexception is thrown when the destination;1.0766293949894457;-2.658908447095419;-2.509289872633814;0.18182515025792792;0.17442440720565475;0.09786357823396973;CODE
is not writable or we do not have access to that folder;4.572433302630572;-8.901344833904194;2.6636776408617377;-0.6671222667362752;-2.1678477464569745;0.5719528762656204;OUTD
let s check config file and config folder;5.07957601703175;-1.174937502225364;-1.4931119942725997;-1.7172635319922591;0.6111829812222064;-0.10509508724851217;OUTD
sql statements for queries against the database;-8.387636195705062;1.5279990037192823;-1.0739921972550084;0.1743760736158394;0.3911486900185247;-0.1776263010041946;CODE
if the file for the current database does not exist yet but;3.438569015273591;-3.6471635853160866;-1.715928280354877;-0.32982306966563085;-0.24375534651492156;0.1400259221457144;CODE
the previous properties based file is there migrate it;0.9134589545495359;-3.3072898066747434;-1.0656960722374664;-0.09589003960439496;-0.0466373691357365;0.04199067478932177;-
prevent hsqldb from messing with jul logger;-7.199127428242547;3.249636237734641;-0.6933178023805268;0.06145017251918989;0.4607206413069799;0.11178521006811847;CODE
it searches for log4j v1 and v2 which would be available via the;3.3566962604811197;-2.115231833764833;-0.6581671619109652;-0.5008624865007268;0.3505466471685877;-0.09636684969631461;CODE
slf4j bridges but since hsqldb doesn t osgi import log4j they;-4.2278050253903;1.73985328723587;0.5461153379355356;-0.802144681370946;-0.4642430581050817;-0.15019556766267436;CODE
cannot be found;1.8108517656989753;-2.849282127559466;1.1360968068216388;-1.0579381050706804;-0.1898713357385753;0.38131655235120937;-
open the connection;2.973486287376613;6.370731181834418;-1.2488760163202892;2.4855729124162984;1.172575664895042;0.9286035204141284;CODE
then do the actual migration;-1.8319778985631552;-4.394261841707541;-0.27324651891497703;0.808779307941336;-2.1093693354942094;0.17502596370180004;CODE
and finally load the mandatory system properties;-1.1154306998317285;0.20195182937209596;-1.5661784993947794;-0.049112508036955486;0.8331107171818461;-0.12943741419296095;CODE
a property with the same name as an existing system property cannot;4.3641371145608305;-0.4171349132020215;-1.8960807323808786;-0.5709205592151584;0.6199677911800445;0.06910318640173353;CODE
be set so mark it as a system property;6.5183267889736864;-3.527149735398777;-0.15819684051506397;0.6606809717382262;-1.1727687263304019;-0.3328053122714548;IRRE
remove all properties;5.4766836406985995;-1.0595001214212822;-0.20167349123709627;-0.057967165488362955;1.7332870032467094;-0.3825392656997836;-
nothing to do the file cannot be edited outside;1.393738617602126;-4.742970383376973;0.41115626974151237;0.20081141404203123;-2.3931323984072588;0.7619214582396558;CODE
now get those properties and place them into the mutable and;0.8026969311950096;0.6103897197744913;-0.20208374181832375;0.7097499902773939;0.834254139677213;-0.24199947530065788;CODE
immutable properties maps;-13.021530114451897;3.410698161749883;0.13096877252934946;0.03853761386635114;-0.06699757187554058;-0.1937029595835878;-
it seems that we have a valid default immutable property;2.4580731014466215;-5.33498663566961;2.704868481517282;-1.2106610515960619;-0.48675556018678295;0.046151020115390295;CODE
in case this is an override make sure we remove previous;7.990208342049199;-9.266132301504273;5.794865981487619;-1.1643218891949982;2.505143801429079;-1.2788244263928479;CODE
definitions of this property;0.8868457732694084;-1.954160225155362;-1.9087993620782335;-0.741084761233091;0.9926455214999889;0.021731215496247423;IRRE
this property is a regular mutable default property;-0.4449394770484668;-2.0834922826737143;-1.6896454374396028;-0.4873390044612879;-0.15415658923821451;-0.1116663313448797;CODE
in case this is an override make sure we remove previous;7.990208342049199;-9.266132301504273;5.794865981487619;-1.1643218891949982;2.505143801429079;-1.2788244263928479;CODE
definitions of this property;0.8868457732694084;-1.954160225155362;-1.9087993620782335;-0.741084761233091;0.9926455214999889;0.021731215496247423;IRRE
we can function without defaults so we are just logging those;1.0780395243642629;-4.60296612731682;3.258684731286638;-0.8761410154560944;-0.5646375784607459;0.2959893285946204;CODE
not sure if this can happen but just in case;9.006430861502693;-9.603723551379774;3.678999123902738;-1.5074136570157677;1.092844814570231;-0.6328137155945132;META
reg the icq account man;-7.889509313498094;0.7795938616622555;-1.3520646105477736;0.5032092029186845;0.5817757034923231;-0.14845916435338122;-
retrieve a reference to the file access service;2.7874611616016685;-1.7718720113687787;-0.6245600814616316;0.6760069954046852;0.17949054438545323;-0.06992549114263714;CODE
retrieve a reference to the file access service;2.7874611616016685;-1.7718720113687787;-0.6245600814616316;0.6760069954046852;0.17949054438545323;-0.06992549114263714;CODE
get a reference to the contact list file;7.976482637423575;-1.6656362643940712;-2.1920365850537906;2.147903821901048;0.8916679688351056;0.15146428438498838;CODE
create the failsafe transaction and restore the file if needed;-0.3210178289505144;-0.7682381542715251;-1.454855427235042;0.598176048283783;0.6818586357166221;0.16114930922201726;IRRE
load the contact list;6.9083173935294315;-4.601778517413874;-5.058945484882958;0.10873846169375047;2.3901653603699846;0.4666963630197122;CODE
if the contact list does not exist create it;6.270457606175551;-5.1460888072771835;-1.6497538764878747;-0.21959081886832615;0.23700133794775802;0.8571919409806521;CODE
write the contact list so that it is there for the parser;5.762341873330337;-6.455953321806085;-1.14053983452821;-0.4479339749105408;1.060194165270023;0.03608207265534791;CODE
re create and re init the new document;4.452299037783534;2.6667130855735164;0.3995339968710256;0.8785987193597561;0.6956791367668703;0.5819861928890571;IRRE
write the contact list so that it is there for the parser;5.762341873330337;-6.455953321806085;-1.14053983452821;-0.4479339749105408;1.060194165270023;0.03608207265534791;CODE
it is not highly probable that this might happen so lets just;2.1927588981872077;-5.16130365361569;1.3706580965288095;-0.9977676990955817;-0.41086313402688784;0.23913511267008888;CODE
log it;4.297093514619838;-4.339430944561648;1.046666749361428;-1.5713672466578037;-0.6610625443114114;0.623179456257244;-
begin a new transaction;-7.281397501640952;9.673690921616245;1.172198777577803;1.0504823248732145;0.39516426206105393;1.030174662366481;CODE
