clean_comment;v1;v2;v3;v4;v5;v6;label
usr bin python;5.017079415905294;-3.4319482805265427;-8.454639160438393;1.3250725131514338;0.280714411024351;-0.4355820420492859;CODE
copyright 2014 google inc all rights reserved;-0.42934453984166815;2.269816190945316;-1.5020361917445293;-0.011615060470877969;-0.592243369421506;0.9365188457711862;IRRE
copyright 2015 tim rae;-0.7579409262910621;-2.033785971105114;-8.40090213841907;0.1278037262508617;-0.37526686962145844;0.6326227359631869;-
licensed under the apache license version 2 0 the license;6.9230583493079845;8.240558105167636;0.22699358345324772;0.6729598479890827;-0.18010805794713877;1.210147695323947;META
you may not use this file except in compliance with the license;-0.6018595653772779;6.685590921506328;-1.5048901619272912;0.23177155593388965;0.9863129689237488;-0.5261173407429481;CODE
you may obtain a copy of the license at;1.0175283416202145;3.628921638178363;-2.113545430807368;1.8824163737347395;-2.042124069421778;0.9002319205229532;-
http www apache org licenses license 2 0;22.655597877441625;4.151494703750419;-10.59771689977289;3.810576052977071;0.25646985039140696;1.0968551789111518;CODE
unless required by applicable law or agreed to in writing software;-1.4846738032237026;0.49890553320856873;-5.379038082301785;2.6880881921626325;0.12225205058016245;0.37309017824770546;CODE
distributed under the license is distributed on an as is basis;-0.9762084369428284;5.965376834030789;1.3169757024044344;-0.3964116232150338;0.19935707338567624;-0.7850327614713111;META
without warranties or conditions of any kind either express or implied;1.1537124658426454;-0.28916822872424414;-4.554607442173645;0.8741387511892994;-1.1334620679671785;0.9692633810081388;-
see the license for the specific language governing permissions and;2.0997207458539333;-0.654609873481722;-0.4432698872788727;0.874193009600214;-0.2600585843914549;0.7446871734017144;CODE
limitations under the license;5.383520919309465;6.545990273589044;1.3635788985733308;0.30338975636576826;-0.691902213609507;1.5337179389197755;-
usr bin env python;4.184242196429243;-4.054417887162489;-9.326671900228494;1.0837550762958186;0.45147348031867374;-0.19641180126775107;CODE
copyright 2006 2007 google inc all rights reserved;-0.42934453984166815;2.269816190945316;-1.5020361917445293;-0.011615060470877969;-0.592243369421506;0.9365188457711862;IRRE
author danderson google com david anderson;11.994457305487474;-4.8140001540030015;-4.274873780645395;3.3918813923818925;-0.7095178671339354;-0.6485976027552689;META
script for uploading files to a google code project;1.7449688185261396;-1.936434213443375;-4.577288191530969;1.7625738526115657;-0.0971667281926822;-0.34128213358939874;CODE
this is intended to be both a useful script for people who want to;-3.256412085951771;3.668219455382348;-3.526373184178977;1.7932547547566509;1.3650900194453273;-1.3894599807539851;CODE
